timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.free [MiB], memory.used [MiB]
2023/01/19 19:01:57.534, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:01:57.534, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:02:07.546, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:02:07.546, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:02:17.554, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:02:17.554, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:02:27.558, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:02:27.558, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:02:37.562, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:02:37.562, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:02:47.570, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:02:47.570, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:02:57.582, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:02:57.582, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:03:07.586, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:03:07.586, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:03:17.594, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:03:17.594, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:03:27.598, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
2023/01/19 19:03:27.598, Tesla P100-SXM2-16GB, 0 %, 0 %, 2 MiB, 16278 MiB, 2 MiB
